encode_id	accession	replication	sample	target	assembly
/experiments/ENCSR000ALW/	ENCSR000ALW	isogenic	mammary_epithelial_cell	H3K27ac	hg38
/experiments/ENCSR000ALX/	ENCSR000ALX	isogenic	mammary_epithelial_cell	H3K27me3	hg38
/experiments/ENCSR000ALY/	ENCSR000ALY	isogenic	mammary_epithelial_cell	H3K36me3	hg38
/experiments/ENCSR000ALZ/	ENCSR000ALZ	isogenic	mammary_epithelial_cell	H3K9ac	hg38
/experiments/ENCSR000AMA/	ENCSR000AMA	isogenic	HepG2	CTCF	hg38
/experiments/ENCSR000AMB/	ENCSR000AMB	isogenic	HepG2	H3K36me3	hg38
/experiments/ENCSR000AMC/	ENCSR000AMC	isogenic	HepG2	H3K4me2	hg38
/experiments/ENCSR000AMD/	ENCSR000AMD	isogenic	HepG2	H3K9ac	hg38
/experiments/ENCSR000AMG/	ENCSR000AMG	isogenic	H1	H3K4me3	hg38
/experiments/ENCSR000AMH/	ENCSR000AMH	isogenic	H1	H4K20me1	hg38
/experiments/ENCSR000AMJ/	ENCSR000AMJ	isogenic	mammary_epithelial_cell	H3K4me1	hg38
/experiments/ENCSR000AMK/	ENCSR000AMK	isogenic	mammary_epithelial_cell	H3K4me2	hg38
/experiments/ENCSR000AML/	ENCSR000AML	isogenic	mammary_epithelial_cell	H3K4me3	hg38
/experiments/ENCSR000AMM/	ENCSR000AMM	isogenic	mammary_epithelial_cell	H4K20me1	hg38
/experiments/ENCSR000AMO/	ENCSR000AMO	isogenic	HepG2	H3K27ac	hg38
/experiments/ENCSR000AMP/	ENCSR000AMP	isogenic	HepG2	H3K4me3	hg38
/experiments/ENCSR000AMQ/	ENCSR000AMQ	isogenic	HepG2	H4K20me1	hg38
/experiments/ENCSR000AMR/	ENCSR000AMR	anisogenic	fibroblast_of_lung	H3K27ac	hg38
/experiments/ENCSR000AMS/	ENCSR000AMS	anisogenic	fibroblast_of_lung	H3K27me3	hg38
/experiments/ENCSR000AMT/	ENCSR000AMT	anisogenic	fibroblast_of_lung	H3K36me3	hg38
/experiments/ENCSR000AMU/	ENCSR000AMU	anisogenic	fibroblast_of_lung	H3K4me1	hg38
/experiments/ENCSR000AMV/	ENCSR000AMV	anisogenic	fibroblast_of_lung	H3K4me2	hg38
/experiments/ENCSR000AMW/	ENCSR000AMW	anisogenic	fibroblast_of_lung	H3K4me3	hg38
/experiments/ENCSR000AMX/	ENCSR000AMX	anisogenic	fibroblast_of_lung	H3K9ac	hg38
/experiments/ENCSR000AMY/	ENCSR000AMY	anisogenic	fibroblast_of_lung	H4K20me1	hg38
/experiments/ENCSR000ANA/	ENCSR000ANA	isogenic	H1	H3K4me1	hg38
/experiments/ENCSR000ANB/	ENCSR000ANB	isogenic	H1	H3K36me3	hg38
/experiments/ENCSR000ANC/	ENCSR000ANC	isogenic	H1	H3K4me2	hg38
/experiments/ENCSR000AND/	ENCSR000AND	isogenic	H1	H3K9ac	hg38
/experiments/ENCSR000ANF/	ENCSR000ANF	isogenic	skeletal_muscle_myoblast	H3K27ac	hg38
/experiments/ENCSR000ANG/	ENCSR000ANG	isogenic	skeletal_muscle_myoblast	H3K27me3	hg38
/experiments/ENCSR000ANH/	ENCSR000ANH	isogenic	skeletal_muscle_myoblast	H3K36me3	hg38
/experiments/ENCSR000ANI/	ENCSR000ANI	isogenic	skeletal_muscle_myoblast	H3K4me1	hg38
/experiments/ENCSR000ANJ/	ENCSR000ANJ	isogenic	skeletal_muscle_myoblast	H3K4me2	hg38
/experiments/ENCSR000ANK/	ENCSR000ANK	isogenic	skeletal_muscle_myoblast	H3K4me3	hg38
/experiments/ENCSR000ANL/	ENCSR000ANL	isogenic	skeletal_muscle_myoblast	H3K9ac	hg38
/experiments/ENCSR000ANM/	ENCSR000ANM	isogenic	skeletal_muscle_myoblast	H4K20me1	hg38
/experiments/ENCSR000ANO/	ENCSR000ANO	anisogenic	fibroblast_of_lung	CTCF	hg38
/experiments/ENCSR000ANP/	ENCSR000ANP	isogenic	H1	H3K27ac	hg38
/experiments/ENCSR000ANQ/	ENCSR000ANQ	isogenic	skeletal_muscle_myoblast	H3K79me2	hg38
/experiments/ENCSR000ANR/	ENCSR000ANR	isogenic	skeletal_muscle_myoblast	H3K9me3	hg38
/experiments/ENCSR000ANS/	ENCSR000ANS	isogenic	myotube	CTCF	hg38
/experiments/ENCSR000ANU/	ENCSR000ANU	isogenic	myotube	H2AFZ	hg38
/experiments/ENCSR000ANV/	ENCSR000ANV	isogenic	myotube	H3K27ac	hg38
/experiments/ENCSR000ANW/	ENCSR000ANW	isogenic	myotube	H3K36me3	hg38
/experiments/ENCSR000ANX/	ENCSR000ANX	isogenic	myotube	H3K4me1	hg38
/experiments/ENCSR000ANY/	ENCSR000ANY	isogenic	myotube	H3K4me2	hg38
/experiments/ENCSR000ANZ/	ENCSR000ANZ	isogenic	myotube	H3K4me3	hg38
/experiments/ENCSR000AOA/	ENCSR000AOA	isogenic	HeLa-S3	CTCF	hg38
/experiments/ENCSR000AOC/	ENCSR000AOC	isogenic	HeLa-S3	H3K27ac	hg38
/experiments/ENCSR000AOE/	ENCSR000AOE	isogenic	HeLa-S3	H3K4me2	hg38
/experiments/ENCSR000AOF/	ENCSR000AOF	isogenic	HeLa-S3	H3K4me3	hg38
/experiments/ENCSR000AOG/	ENCSR000AOG	isogenic	HeLa-S3	H3K79me2	hg38
/experiments/ENCSR000AOH/	ENCSR000AOH	isogenic	HeLa-S3	H3K9ac	hg38
/experiments/ENCSR000AOI/	ENCSR000AOI	isogenic	HeLa-S3	H4K20me1	hg38
/experiments/ENCSR000AOL/	ENCSR000AOL	isogenic	HepG2	H3K27me3	hg38
/experiments/ENCSR000AON/	ENCSR000AON	isogenic	myotube	H3K79me2	hg38
/experiments/ENCSR000AOO/	ENCSR000AOO	isogenic	astrocyte	CTCF	hg38
/experiments/ENCSR000AOQ/	ENCSR000AOQ	isogenic	astrocyte	H3K27ac	hg38
/experiments/ENCSR000AOU/	ENCSR000AOU	isogenic	astrocyte	H3K4me3	hg38
/experiments/ENCSR000AOV/	ENCSR000AOV	isogenic	GM12878	H2AFZ	hg38
/experiments/ENCSR000AOW/	ENCSR000AOW	isogenic	GM12878	H3K79me2	hg38
/experiments/ENCSR000AOY/	ENCSR000AOY	isogenic	myotube	H3K9ac	hg38
/experiments/ENCSR000AOZ/	ENCSR000AOZ	isogenic	myotube	H4K20me1	hg38
/experiments/ENCSR000APA/	ENCSR000APA	isogenic	skeletal_muscle_myoblast	H2AFZ	hg38
/experiments/ENCSR000APB/	ENCSR000APB	isogenic	HeLa-S3	H3K27me3	hg38
/experiments/ENCSR000APC/	ENCSR000APC	isogenic	K562	H2AFZ	hg38
/experiments/ENCSR000APD/	ENCSR000APD	isogenic	K562	H3K79me2	hg38
/experiments/ENCSR000APE/	ENCSR000APE	isogenic	K562	H3K9me3	hg38
/experiments/ENCSR000APF/	ENCSR000APF	anisogenic	osteoblast	CTCF	hg38
/experiments/ENCSR000APG/	ENCSR000APG	anisogenic	osteoblast	H2AFZ	hg38
/experiments/ENCSR000APH/	ENCSR000APH	anisogenic	osteoblast	H3K27ac	hg38
/experiments/ENCSR000API/	ENCSR000API	anisogenic	osteoblast	H3K36me3	hg38
/experiments/ENCSR000APJ/	ENCSR000APJ	anisogenic	osteoblast	H3K4me1	hg38
/experiments/ENCSR000APK/	ENCSR000APK	anisogenic	osteoblast	H3K4me2	hg38
/experiments/ENCSR000APL/	ENCSR000APL	anisogenic	osteoblast	H3K9me3	hg38
/experiments/ENCSR000APM/	ENCSR000APM	isogenic	fibroblast_of_dermis	CTCF	hg38
/experiments/ENCSR000APN/	ENCSR000APN	isogenic	fibroblast_of_dermis	H3K27ac	hg38
/experiments/ENCSR000APO/	ENCSR000APO	isogenic	fibroblast_of_dermis	H3K27me3	hg38
/experiments/ENCSR000APQ/	ENCSR000APQ	isogenic	fibroblast_of_dermis	H3K4me2	hg38
/experiments/ENCSR000APR/	ENCSR000APR	anisogenic	fibroblast_of_dermis	H3K4me3	hg38
/experiments/ENCSR000APS/	ENCSR000APS	isogenic	fibroblast_of_dermis	H3K9ac	hg38
/experiments/ENCSR000APV/	ENCSR000APV	isogenic	HepG2	H3K4me1	hg38
/experiments/ENCSR000APW/	ENCSR000APW	isogenic	HeLa-S3	H3K4me1	hg38
/experiments/ENCSR000APX/	ENCSR000APX	isogenic	H1	H2AFZ	hg38
/experiments/ENCSR000APY/	ENCSR000APY	isogenic	H1	H3K79me2	hg38
/experiments/ENCSR000AQA/	ENCSR000AQA	isogenic	K562	KDM5B	hg38
/experiments/ENCSR000AQC/	ENCSR000AQC	isogenic	H1	RBBP5	hg38
/experiments/ENCSR000AQF/	ENCSR000AQF	isogenic	K562	HDAC1	hg38
/experiments/ENCSR000AQG/	ENCSR000AQG	isogenic	K562	HDAC2	hg38
/experiments/ENCSR000AQH/	ENCSR000AQH	isogenic	K562	PHF8	hg38
/experiments/ENCSR000AQI/	ENCSR000AQI	isogenic	K562	RBBP5	hg38
/experiments/ENCSR000AQJ/	ENCSR000AQJ	isogenic	K562	SAP30	hg38
/experiments/ENCSR000AQK/	ENCSR000AQK	isogenic	H1	CHD1	hg38
/experiments/ENCSR000AQM/	ENCSR000AQM	isogenic	myotube	H3K9me3	hg38
/experiments/ENCSR000AQN/	ENCSR000AQN	isogenic	HeLa-S3	H2AFZ	hg38
/experiments/ENCSR000AQO/	ENCSR000AQO	isogenic	HeLa-S3	H3K9me3	hg38
/experiments/ENCSR000AQS/	ENCSR000AQS	anisogenic	osteoblast	H3K27me3	hg38
/experiments/ENCSR000AQT/	ENCSR000AQT	anisogenic	osteoblast	H4K20me1	hg38
/experiments/ENCSR000AQU/	ENCSR000AQU	isogenic	DND-41	CTCF	hg38
/experiments/ENCSR000AQV/	ENCSR000AQV	isogenic	DND-41	H2AFZ	hg38
/experiments/ENCSR000AQW/	ENCSR000AQW	isogenic	DND-41	H3K27ac	hg38
/experiments/ENCSR000AQX/	ENCSR000AQX	isogenic	DND-41	H3K36me3	hg38
/experiments/ENCSR000AQY/	ENCSR000AQY	isogenic	DND-41	H3K4me1	hg38
/experiments/ENCSR000AQZ/	ENCSR000AQZ	isogenic	DND-41	H3K4me2	hg38
/experiments/ENCSR000ARA/	ENCSR000ARA	isogenic	DND-41	H3K4me3	hg38
/experiments/ENCSR000ARB/	ENCSR000ARB	isogenic	DND-41	H3K79me2	hg38
/experiments/ENCSR000ARC/	ENCSR000ARC	isogenic	DND-41	H4K20me1	hg38
/experiments/ENCSR000ARD/	ENCSR000ARD	isogenic	GM12878	EZH2	hg38
/experiments/ENCSR000ARE/	ENCSR000ARE	isogenic	mammary_epithelial_cell	EZH2	hg38
/experiments/ENCSR000ARF/	ENCSR000ARF	isogenic	mammary_epithelial_cell	H2AFZ	hg38
/experiments/ENCSR000ARG/	ENCSR000ARG	isogenic	mammary_epithelial_cell	H3K9me3	hg38
/experiments/ENCSR000ARH/	ENCSR000ARH	isogenic	skeletal_muscle_myoblast	EZH2	hg38
/experiments/ENCSR000ARI/	ENCSR000ARI	isogenic	HepG2	EZH2	hg38
/experiments/ENCSR000ARL/	ENCSR000ARL	isogenic	keratinocyte	H2AFZ	hg38
/experiments/ENCSR000ARM/	ENCSR000ARM	isogenic	keratinocyte	H3K79me2	hg38
/experiments/ENCSR000ARN/	ENCSR000ARN	isogenic	keratinocyte	H3K9me3	hg38
/experiments/ENCSR000ARO/	ENCSR000ARO	anisogenic	fibroblast_of_lung	EZH2	hg38
/experiments/ENCSR000ARP/	ENCSR000ARP	anisogenic	fibroblast_of_lung	H2AFZ	hg38
/experiments/ENCSR000ARQ/	ENCSR000ARQ	anisogenic	fibroblast_of_lung	H3K9me3	hg38
/experiments/ENCSR000ART/	ENCSR000ART	isogenic	astrocyte	H3K9ac	hg38
/experiments/ENCSR000ARU/	ENCSR000ARU	isogenic	astrocyte	H4K20me1	hg38
/experiments/ENCSR000ARV/	ENCSR000ARV	isogenic	fibroblast_of_dermis	H3K4me1	hg38
/experiments/ENCSR000ARW/	ENCSR000ARW	isogenic	fibroblast_of_dermis	H3K79me2	hg38
/experiments/ENCSR000ARX/	ENCSR000ARX	isogenic	fibroblast_of_dermis	H3K9me3	hg38
/experiments/ENCSR000ARY/	ENCSR000ARY	isogenic	DND-41	H3K9ac	hg38
/experiments/ENCSR000ARZ/	ENCSR000ARZ	isogenic	DND-41	H3K9me3	hg38
/experiments/ENCSR000ASB/	ENCSR000ASB	isogenic	mammary_epithelial_cell	H3K79me2	hg38
/experiments/ENCSR000ASC/	ENCSR000ASC	isogenic	endothelial_cell_of_umbilical_vein	H2AFZ	hg38
/experiments/ENCSR000ASD/	ENCSR000ASD	isogenic	endothelial_cell_of_umbilical_vein	H3K79me2	hg38
/experiments/ENCSR000ASE/	ENCSR000ASE	isogenic	fibroblast_of_dermis	EZH2	hg38
/experiments/ENCSR000ASF/	ENCSR000ASF	anisogenic	fibroblast_of_lung	H3K79me2	hg38
/experiments/ENCSR000ASG/	ENCSR000ASG	isogenic	osteoblast	H3K79me2	hg38
/experiments/ENCSR000ASI/	ENCSR000ASI	isogenic	CD14-positive_monocyte	H2AFZ	hg38
/experiments/ENCSR000ASJ/	ENCSR000ASJ	isogenic	CD14-positive_monocyte	H3K27ac	hg38
/experiments/ENCSR000ASK/	ENCSR000ASK	isogenic	CD14-positive_monocyte	H3K27me3	hg38
/experiments/ENCSR000ASL/	ENCSR000ASL	isogenic	CD14-positive_monocyte	H3K36me3	hg38
/experiments/ENCSR000ASM/	ENCSR000ASM	isogenic	CD14-positive_monocyte	H3K4me1	hg38
/experiments/ENCSR000ASN/	ENCSR000ASN	isogenic	CD14-positive_monocyte	H3K4me3	hg38
/experiments/ENCSR000ASO/	ENCSR000ASO	isogenic	CD14-positive_monocyte	H3K79me2	hg38
/experiments/ENCSR000ASP/	ENCSR000ASP	isogenic	CD14-positive_monocyte	H3K9me3	hg38
/experiments/ENCSR000ASQ/	ENCSR000ASQ	isogenic	CD14-positive_monocyte	H4K20me1	hg38
/experiments/ENCSR000ASX/	ENCSR000ASX	isogenic	DND-41	H3K27me3	hg38
/experiments/ENCSR000ATB/	ENCSR000ATB	isogenic	endothelial_cell_of_umbilical_vein	H3K9me3	hg38
/experiments/ENCSR000ATC/	ENCSR000ATC	isogenic	HeLa-S3	EZH2	hg38
/experiments/ENCSR000ATD/	ENCSR000ATD	isogenic	HepG2	H3K9me3	hg38
/experiments/ENCSR000ATE/	ENCSR000ATE	isogenic	CD14-positive_monocyte	H3K4me2	hg38
/experiments/ENCSR000ATF/	ENCSR000ATF	isogenic	CD14-positive_monocyte	H3K9ac	hg38
/experiments/ENCSR000ATG/	ENCSR000ATG	anisogenic	fibroblast_of_dermis	H2AFZ	hg38
/experiments/ENCSR000ATH/	ENCSR000ATH	anisogenic	osteoblast	H3K4me3	hg38
/experiments/ENCSR000ATI/	ENCSR000ATI	isogenic	myotube	H3K27me3	hg38
/experiments/ENCSR000ATJ/	ENCSR000ATJ	isogenic	K562	HDAC6	hg38
/experiments/ENCSR000ATK/	ENCSR000ATK	isogenic	H1	PHF8	hg38
/experiments/ENCSR000ATN/	ENCSR000ATN	isogenic	CD14-positive_monocyte	CTCF	hg38
/experiments/ENCSR000ATR/	ENCSR000ATR	isogenic	H1	SAP30	hg38
/experiments/ENCSR000ATS/	ENCSR000ATS	isogenic	H1	SUZ12	hg38
/experiments/ENCSR000ATW/	ENCSR000ATW	isogenic	K562	CBX8	hg38
/experiments/ENCSR000AUC/	ENCSR000AUC	isogenic	K562	SUZ12	hg38
/experiments/ENCSR000AUP/	ENCSR000AUP	isogenic	B_cell	H3K27ac	hg38
/experiments/ENCSR000AUV/	ENCSR000AUV	anisogenic	B_cell	CTCF	hg38
/experiments/ENCSR000AUX/	ENCSR000AUX	anisogenic	B_cell	H2AFZ	hg38
/experiments/ENCSR000AUY/	ENCSR000AUY	anisogenic	B_cell	H3K4me2	hg38
/experiments/ENCSR000AUZ/	ENCSR000AUZ	isogenic	B_cell	EZH2	hg38
/experiments/ENCSR000AVA/	ENCSR000AVA	isogenic	H1	CHD7	hg38
/experiments/ENCSR000AVB/	ENCSR000AVB	isogenic	H1	HDAC2	hg38
/experiments/ENCSR000AVJ/	ENCSR000AVJ	isogenic	B_cell	H4K20me1	hg38
/experiments/ENCSR000BGA/	ENCSR000BGA	isogenic	PFSK-1	FOXP2	hg38
/experiments/ENCSR000BGB/	ENCSR000BGB	isogenic	SK-N-MC	FOXP2	hg38
/experiments/ENCSR000BGD/	ENCSR000BGD	isogenic	GM12878	POLR2A	hg38
/experiments/ENCSR000BGE/	ENCSR000BGE	isogenic	GM12878	SRF	hg38
/experiments/ENCSR000BGF/	ENCSR000BGF	isogenic	GM12878	REST	hg38
/experiments/ENCSR000BGI/	ENCSR000BGI	isogenic	GM12878	USF1	hg38
/experiments/ENCSR000BGK/	ENCSR000BGK	isogenic	HepG2	JUND	hg38
/experiments/ENCSR000BGL/	ENCSR000BGL	isogenic	HepG2	SIN3A	hg38
/experiments/ENCSR000BGM/	ENCSR000BGM	isogenic	HepG2	USF1	hg38
/experiments/ENCSR000BGO/	ENCSR000BGO	isogenic	HeLa-S3	POLR2A	hg38
/experiments/ENCSR000BGQ/	ENCSR000BGQ	isogenic	GM12878	SPI1	hg38
/experiments/ENCSR000BGR/	ENCSR000BGR	isogenic	GM12878	PBX3	hg38
/experiments/ENCSR000BGS/	ENCSR000BGS	isogenic	GM12878	TAF1	hg38
/experiments/ENCSR000BGT/	ENCSR000BGT	isogenic	GM12878	BATF	hg38
/experiments/ENCSR000BGU/	ENCSR000BGU	isogenic	GM12878	EBF1	hg38
/experiments/ENCSR000BGW/	ENCSR000BGW	isogenic	K562	SPI1	hg38
/experiments/ENCSR000BGX/	ENCSR000BGX	isogenic	K562	SIX5	hg38
/experiments/ENCSR000BGY/	ENCSR000BGY	isogenic	GM12878	IRF4	hg38
/experiments/ENCSR000BGZ/	ENCSR000BGZ	isogenic	GM12878	TCF12	hg38
/experiments/ENCSR000BHA/	ENCSR000BHA	isogenic	GM12878	BCL11A	hg38
/experiments/ENCSR000BHB/	ENCSR000BHB	isogenic	GM12878	EP300	hg38
/experiments/ENCSR000BHC/	ENCSR000BHC	isogenic	GM12878	ZBTB33	hg38
/experiments/ENCSR000BHD/	ENCSR000BHD	isogenic	GM12878	PAX5	hg38
/experiments/ENCSR000BHJ/	ENCSR000BHJ	isogenic	GM12878	PAX5	hg38
/experiments/ENCSR000BHK/	ENCSR000BHK	isogenic	GM12878	SP1	hg38
/experiments/ENCSR000BHM/	ENCSR000BHM	isogenic	H1	REST	hg38
/experiments/ENCSR000BHN/	ENCSR000BHN	isogenic	H1	POLR2A	hg38
/experiments/ENCSR000BHO/	ENCSR000BHO	isogenic	H1	TAF1	hg38
/experiments/ENCSR000BHP/	ENCSR000BHP	isogenic	HepG2	FOSL2	hg38
/experiments/ENCSR000BHS/	ENCSR000BHS	isogenic	HeLa-S3	GABPA	hg38
/experiments/ENCSR000BHT/	ENCSR000BHT	isogenic	HeLa-S3	TAF1	hg38
/experiments/ENCSR000BHU/	ENCSR000BHU	isogenic	HepG2	RXRA	hg38
/experiments/ENCSR000BHZ/	ENCSR000BHZ	isogenic	GM12892	POLR2A	hg38
/experiments/ENCSR000BIA/	ENCSR000BIA	isogenic	GM12892	POLR2AphosphoS5	hg38
/experiments/ENCSR000BIB/	ENCSR000BIB	isogenic	GM12892	TAF1	hg38
/experiments/ENCSR000BIC/	ENCSR000BIC	isogenic	H1	POLR2AphosphoS5	hg38
/experiments/ENCSR000BID/	ENCSR000BID	isogenic	HepG2	BHLHE40	hg38
/experiments/ENCSR000BIE/	ENCSR000BIE	isogenic	HepG2	CTCF	hg38
/experiments/ENCSR000BIF/	ENCSR000BIF	isogenic	GM12878	POLR2AphosphoS5	hg38
/experiments/ENCSR000BII/	ENCSR000BII	isogenic	GM12891	POU2F2	hg38
/experiments/ENCSR000BIJ/	ENCSR000BIJ	isogenic	GM12891	SPI1	hg38
/experiments/ENCSR000BIK/	ENCSR000BIK	isogenic	GM12891	POLR2A	hg38
/experiments/ENCSR000BIL/	ENCSR000BIL	isogenic	GM12891	POLR2AphosphoS5	hg38
/experiments/ENCSR000BIM/	ENCSR000BIM	isogenic	GM12891	TAF1	hg38
/experiments/ENCSR000BIQ/	ENCSR000BIQ	isogenic	H1	SIX5	hg38
/experiments/ENCSR000BIR/	ENCSR000BIR	isogenic	H1	SP1	hg38
/experiments/ENCSR000BIS/	ENCSR000BIS	isogenic	H1	SIN3A	hg38
/experiments/ENCSR000BIT/	ENCSR000BIT	isogenic	H1	TCF12	hg38
/experiments/ENCSR000BIU/	ENCSR000BIU	isogenic	H1	USF1	hg38
/experiments/ENCSR000BIV/	ENCSR000BIV	isogenic	H1	SRF	hg38
/experiments/ENCSR000BIW/	ENCSR000BIW	isogenic	H1	GABPA	hg38
/experiments/ENCSR000BJA/	ENCSR000BJA	isogenic	H1	EGR1	hg38
/experiments/ENCSR000BJD/	ENCSR000BJD	isogenic	GM12878	RXRA	hg38
/experiments/ENCSR000BJE/	ENCSR000BJE	isogenic	GM12878	SIX5	hg38
/experiments/ENCSR000BJG/	ENCSR000BJG	isogenic	HepG2	TCF12	hg38
/experiments/ENCSR000BJH/	ENCSR000BJH	isogenic	GM12891	PAX5	hg38
/experiments/ENCSR000BJI/	ENCSR000BJI	isogenic	GM12892	PAX5	hg38
/experiments/ENCSR000BJJ/	ENCSR000BJJ	isogenic	SK-N-SH	REST	hg38
/experiments/ENCSR000BJK/	ENCSR000BJK	isogenic	HepG2	GABPA	hg38
/experiments/ENCSR000BJL/	ENCSR000BJL	isogenic	HepG2	REST	hg38
/experiments/ENCSR000BJM/	ENCSR000BJM	isogenic	HepG2	POLR2A	hg38
/experiments/ENCSR000BJN/	ENCSR000BJN	isogenic	HepG2	TAF1	hg38
/experiments/ENCSR000BJO/	ENCSR000BJO	isogenic	Panc1	REST	hg38
/experiments/ENCSR000BJP/	ENCSR000BJP	isogenic	PFSK-1	REST	hg38
/experiments/ENCSR000BJW/	ENCSR000BJW	isogenic	H1	RXRA	hg38
/experiments/ENCSR000BJX/	ENCSR000BJX	isogenic	HepG2	SP1	hg38
/experiments/ENCSR000BJZ/	ENCSR000BJZ	isogenic	GM12878	BCLAF1	hg38
/experiments/ENCSR000BKA/	ENCSR000BKA	isogenic	GM12878	ETS1	hg38
/experiments/ENCSR000BKB/	ENCSR000BKB	isogenic	GM12878	MEF2A	hg38
/experiments/ENCSR000BKC/	ENCSR000BKC	isogenic	H1	ATF3	hg38
/experiments/ENCSR000BKD/	ENCSR000BKD	isogenic	H1	YY1	hg38
/experiments/ENCSR000BKE/	ENCSR000BKE	isogenic	HepG2	ATF3	hg38
/experiments/ENCSR000BKH/	ENCSR000BKH	isogenic	K562	BCLAF1	hg38
/experiments/ENCSR000BKJ/	ENCSR000BKJ	isogenic	GM12891	YY1	hg38
/experiments/ENCSR000BKK/	ENCSR000BKK	isogenic	H1	EP300	hg38
/experiments/ENCSR000BKP/	ENCSR000BKP	isogenic	H1	JUND	hg38
/experiments/ENCSR000BKQ/	ENCSR000BKQ	isogenic	K562	ETS1	hg38
/experiments/ENCSR000BKR/	ENCSR000BKR	isogenic	K562	POLR2AphosphoS5	hg38
/experiments/ENCSR000BKS/	ENCSR000BKS	isogenic	K562	TAF1	hg38
/experiments/ENCSR000BKT/	ENCSR000BKT	isogenic	K562	USF1	hg38
/experiments/ENCSR000BKU/	ENCSR000BKU	isogenic	K562	YY1	hg38
/experiments/ENCSR000BLD/	ENCSR000BLD	isogenic	H1	RAD21	hg38
/experiments/ENCSR000BLE/	ENCSR000BLE	isogenic	HepG2	FOXA1	hg38
/experiments/ENCSR000BLF/	ENCSR000BLF	isogenic	HepG2	HNF4A	hg38
/experiments/ENCSR000BLI/	ENCSR000BLI	isogenic	K562	E2F6	hg38
/experiments/ENCSR000BLO/	ENCSR000BLO	isogenic	K562	GABPA	hg38
/experiments/ENCSR000BLP/	ENCSR000BLP	isogenic	K562	MAX	hg38
/experiments/ENCSR000BLR/	ENCSR000BLR	isogenic	K562	SIN3A	hg38
/experiments/ENCSR000BLS/	ENCSR000BLS	isogenic	HepG2	RAD21	hg38
/experiments/ENCSR000BLT/	ENCSR000BLT	isogenic	GM12892	YY1	hg38
/experiments/ENCSR000BLU/	ENCSR000BLU	isogenic	H1	TAF7	hg38
/experiments/ENCSR000BLW/	ENCSR000BLW	isogenic	HepG2	EP300	hg38
/experiments/ENCSR000BMC/	ENCSR000BMC	isogenic	HepG2	HDAC2	hg38
/experiments/ENCSR000BMD/	ENCSR000BMD	isogenic	K562	ELF1	hg38
/experiments/ENCSR000BME/	ENCSR000BME	isogenic	K562	ZBTB7A	hg38
/experiments/ENCSR000BMG/	ENCSR000BMG	isogenic	K562	HDAC2	hg38
/experiments/ENCSR000BMH/	ENCSR000BMH	isogenic	K562	YY1	hg38
/experiments/ENCSR000BMI/	ENCSR000BMI	isogenic	GM12878	SRF	hg38
